run_id,scenario_id,site,decision_type,variant,workflow,exp1_seed,world_model_file,world_model_sha256,operator_id,operator_assignment_ready,input_status,run_status,output_geometry,output_parameter_table,output_need_disposition,output_constraint_checklist,output_process_log,rhino_export_record,outcome_A_green,outcome_E_equity,outcome_C_comfort,outcome_P_ret,outcome_I_impl,failure_or_exclusion_code
EXP1-SUZ-IP-B-EXISTING,SUZ-IP-B,Suzhou,IP,B,EXISTING,110601,world_model/vector/suz_world_model.gpkg,aa9bb7fbf8dd38a6dabbaae4c4544e8edb70a3933a0c68a90e6b19fce901ea27,NOT_APPLICABLE,yes,FROZEN_WORLD_MODEL,READY_EXISTING_EVALUATION,,,,,,,,,,,,
EXP1-SUZ-IP-B-CONVENTIONAL,SUZ-IP-B,Suzhou,IP,B,CONVENTIONAL,110601,world_model/vector/suz_world_model.gpkg,aa9bb7fbf8dd38a6dabbaae4c4544e8edb70a3933a0c68a90e6b19fce901ea27,,no,FROZEN_WORLD_MODEL,BLOCKED_OPERATOR_ASSIGNMENT,,,,,,,,,,,,
EXP1-SUZ-IP-B-DIGITAL,SUZ-IP-B,Suzhou,IP,B,DIGITAL,110601,world_model/vector/suz_world_model.gpkg,aa9bb7fbf8dd38a6dabbaae4c4544e8edb70a3933a0c68a90e6b19fce901ea27,,no,FROZEN_WORLD_MODEL,BLOCKED_OPERATOR_ASSIGNMENT,,,,,,,,,,,,
EXP1-SUZ-IP-B-POLIS,SUZ-IP-B,Suzhou,IP,B,POLIS,110601,world_model/vector/suz_world_model.gpkg,aa9bb7fbf8dd38a6dabbaae4c4544e8edb70a3933a0c68a90e6b19fce901ea27,,no,FROZEN_WORLD_MODEL,BLOCKED_OPERATOR_ASSIGNMENT,,,,,,,,,,,,
EXP1-SUZ-IP-S-EXISTING,SUZ-IP-S,Suzhou,IP,S,EXISTING,110602,world_model/vector/suz_world_model.gpkg,aa9bb7fbf8dd38a6dabbaae4c4544e8edb70a3933a0c68a90e6b19fce901ea27,NOT_APPLICABLE,yes,FROZEN_WORLD_MODEL,READY_EXISTING_EVALUATION,,,,,,,,,,,,
EXP1-SUZ-IP-S-CONVENTIONAL,SUZ-IP-S,Suzhou,IP,S,CONVENTIONAL,110602,world_model/vector/suz_world_model.gpkg,aa9bb7fbf8dd38a6dabbaae4c4544e8edb70a3933a0c68a90e6b19fce901ea27,,no,FROZEN_WORLD_MODEL,BLOCKED_OPERATOR_ASSIGNMENT,,,,,,,,,,,,
EXP1-SUZ-IP-S-DIGITAL,SUZ-IP-S,Suzhou,IP,S,DIGITAL,110602,world_model/vector/suz_world_model.gpkg,aa9bb7fbf8dd38a6dabbaae4c4544e8edb70a3933a0c68a90e6b19fce901ea27,,no,FROZEN_WORLD_MODEL,BLOCKED_OPERATOR_ASSIGNMENT,,,,,,,,,,,,
EXP1-SUZ-IP-S-POLIS,SUZ-IP-S,Suzhou,IP,S,POLIS,110602,world_model/vector/suz_world_model.gpkg,aa9bb7fbf8dd38a6dabbaae4c4544e8edb70a3933a0c68a90e6b19fce901ea27,,no,FROZEN_WORLD_MODEL,BLOCKED_OPERATOR_ASSIGNMENT,,,,,,,,,,,,
EXP1-LON-GE-B-EXISTING,LON-GE-B,London,GE,B,EXISTING,120101,world_model/vector/lon_world_model.gpkg,a6a2403d23e56b3f3c3c558666e9ed34886c583bfb17504949536f76e1a8f5e1,NOT_APPLICABLE,yes,FROZEN_WORLD_MODEL,READY_EXISTING_EVALUATION,,,,,,,,,,,,
EXP1-LON-GE-B-CONVENTIONAL,LON-GE-B,London,GE,B,CONVENTIONAL,120101,world_model/vector/lon_world_model.gpkg,a6a2403d23e56b3f3c3c558666e9ed34886c583bfb17504949536f76e1a8f5e1,,no,FROZEN_WORLD_MODEL,BLOCKED_OPERATOR_ASSIGNMENT,,,,,,,,,,,,
EXP1-LON-GE-B-DIGITAL,LON-GE-B,London,GE,B,DIGITAL,120101,world_model/vector/lon_world_model.gpkg,a6a2403d23e56b3f3c3c558666e9ed34886c583bfb17504949536f76e1a8f5e1,,no,FROZEN_WORLD_MODEL,BLOCKED_OPERATOR_ASSIGNMENT,,,,,,,,,,,,
EXP1-LON-GE-B-POLIS,LON-GE-B,London,GE,B,POLIS,120101,world_model/vector/lon_world_model.gpkg,a6a2403d23e56b3f3c3c558666e9ed34886c583bfb17504949536f76e1a8f5e1,,no,FROZEN_WORLD_MODEL,BLOCKED_OPERATOR_ASSIGNMENT,,,,,,,,,,,,
EXP1-LON-GE-S-EXISTING,LON-GE-S,London,GE,S,EXISTING,120102,world_model/vector/lon_world_model.gpkg,a6a2403d23e56b3f3c3c558666e9ed34886c583bfb17504949536f76e1a8f5e1,NOT_APPLICABLE,yes,FROZEN_WORLD_MODEL,READY_EXISTING_EVALUATION,,,,,,,,,,,,
EXP1-LON-GE-S-CONVENTIONAL,LON-GE-S,London,GE,S,CONVENTIONAL,120102,world_model/vector/lon_world_model.gpkg,a6a2403d23e56b3f3c3c558666e9ed34886c583bfb17504949536f76e1a8f5e1,,no,FROZEN_WORLD_MODEL,BLOCKED_OPERATOR_ASSIGNMENT,,,,,,,,,,,,
EXP1-LON-GE-S-DIGITAL,LON-GE-S,London,GE,S,DIGITAL,120102,world_model/vector/lon_world_model.gpkg,a6a2403d23e56b3f3c3c558666e9ed34886c583bfb17504949536f76e1a8f5e1,,no,FROZEN_WORLD_MODEL,BLOCKED_OPERATOR_ASSIGNMENT,,,,,,,,,,,,
EXP1-LON-GE-S-POLIS,LON-GE-S,London,GE,S,POLIS,120102,world_model/vector/lon_world_model.gpkg,a6a2403d23e56b3f3c3c558666e9ed34886c583bfb17504949536f76e1a8f5e1,,no,FROZEN_WORLD_MODEL,BLOCKED_OPERATOR_ASSIGNMENT,,,,,,,,,,,,
EXP1-LON-AR-B-EXISTING,LON-AR-B,London,AR,B,EXISTING,120201,world_model/vector/lon_world_model.gpkg,a6a2403d23e56b3f3c3c558666e9ed34886c583bfb17504949536f76e1a8f5e1,NOT_APPLICABLE,yes,FROZEN_WORLD_MODEL,READY_EXISTING_EVALUATION,,,,,,,,,,,,
EXP1-LON-AR-B-CONVENTIONAL,LON-AR-B,London,AR,B,CONVENTIONAL,120201,world_model/vector/lon_world_model.gpkg,a6a2403d23e56b3f3c3c558666e9ed34886c583bfb17504949536f76e1a8f5e1,,no,FROZEN_WORLD_MODEL,BLOCKED_OPERATOR_ASSIGNMENT,,,,,,,,,,,,
EXP1-LON-AR-B-DIGITAL,LON-AR-B,London,AR,B,DIGITAL,120201,world_model/vector/lon_world_model.gpkg,a6a2403d23e56b3f3c3c558666e9ed34886c583bfb17504949536f76e1a8f5e1,,no,FROZEN_WORLD_MODEL,BLOCKED_OPERATOR_ASSIGNMENT,,,,,,,,,,,,
EXP1-LON-AR-B-POLIS,LON-AR-B,London,AR,B,POLIS,120201,world_model/vector/lon_world_model.gpkg,a6a2403d23e56b3f3c3c558666e9ed34886c583bfb17504949536f76e1a8f5e1,,no,FROZEN_WORLD_MODEL,BLOCKED_OPERATOR_ASSIGNMENT,,,,,,,,,,,,
EXP1-LON-AR-S-EXISTING,LON-AR-S,London,AR,S,EXISTING,120202,world_model/vector/lon_world_model.gpkg,a6a2403d23e56b3f3c3c558666e9ed34886c583bfb17504949536f76e1a8f5e1,NOT_APPLICABLE,yes,FROZEN_WORLD_MODEL,READY_EXISTING_EVALUATION,,,,,,,,,,,,
EXP1-LON-AR-S-CONVENTIONAL,LON-AR-S,London,AR,S,CONVENTIONAL,120202,world_model/vector/lon_world_model.gpkg,a6a2403d23e56b3f3c3c558666e9ed34886c583bfb17504949536f76e1a8f5e1,,no,FROZEN_WORLD_MODEL,BLOCKED_OPERATOR_ASSIGNMENT,,,,,,,,,,,,
EXP1-LON-AR-S-DIGITAL,LON-AR-S,London,AR,S,DIGITAL,120202,world_model/vector/lon_world_model.gpkg,a6a2403d23e56b3f3c3c558666e9ed34886c583bfb17504949536f76e1a8f5e1,,no,FROZEN_WORLD_MODEL,BLOCKED_OPERATOR_ASSIGNMENT,,,,,,,,,,,,
